Date,Open,High,Low,Close,Adj Close,Volume
2019-04-30,37.233547,38.241730,36.175945,37.806828,37.806828,2164174
2019-05-02,37.391693,37.569611,36.175945,36.373627,36.373627,1357832
2019-05-03,36.768993,37.974857,36.373627,37.678333,37.678333,1828282
2019-05-06,36.778877,38.538254,36.551540,38.350456,38.350456,1287112
2019-05-07,38.133003,38.310921,36.284672,36.650383,36.650383,3206349
2019-05-08,36.660267,37.549839,36.571312,36.966675,36.966675,2174696
2019-05-09,36.620731,36.749226,35.731159,35.731159,35.731159,2394240
2019-05-10,34.297958,34.693325,32.647308,33.408386,33.408386,7780749
2019-05-13,33.013020,33.200817,31.925766,31.925766,31.925766,2698768
2019-05-14,32.321133,32.617657,30.304768,31.629242,31.629242,5310124
2019-05-15,30.739670,32.597885,30.561754,31.955418,31.955418,2946539
2019-05-16,31.728083,32.212406,31.362370,31.649010,31.649010,2767666
2019-05-17,31.431559,33.507229,31.431559,32.014725,32.014725,3214746
2019-05-20,32.202522,33.823521,32.202522,33.517113,33.517113,2610141
2019-05-21,33.902592,34.693325,33.596184,34.199116,34.199116,3227190
2019-05-22,34.594482,34.643906,32.864758,32.914181,32.914181,1708393
2019-05-23,32.805454,32.805454,31.135035,31.135035,31.135035,3317436
2019-05-24,31.629242,31.728083,29.968706,30.077433,30.077433,3610734
2019-05-27,30.630943,30.749554,29.771025,30.097200,30.097200,1963448
2019-05-28,30.324535,32.419971,30.324535,32.074028,32.074028,4946713
2019-05-29,32.162987,33.408386,31.649010,31.856577,31.856577,3682566
2019-05-30,32.123447,33.309544,31.421675,32.044376,32.044376,3052871
2019-05-31,31.975185,32.232174,30.838511,31.036194,31.036194,3032333
2019-06-03,31.382137,31.994955,29.909401,30.344303,30.344303,2984984
2019-06-04,30.670481,31.075729,29.899517,30.146622,30.146622,2064823
2019-06-05,30.364073,30.818743,29.454731,29.632647,29.632647,2610040
2019-06-06,29.929171,30.759438,29.177975,30.472797,30.472797,2718901
2019-06-07,30.897816,31.075729,29.840214,30.710016,30.710016,3389167
2019-06-10,30.640827,31.698429,30.403608,31.540283,31.540283,3203820
2019-06-11,31.915882,33.220589,31.856577,32.914181,32.914181,2710403
2019-06-12,33.121746,33.161282,31.243759,31.441442,31.441442,3107807
2019-06-13,31.728083,32.568233,31.530399,31.915882,31.915882,1891313
2019-06-14,31.915882,32.083912,30.640827,30.789089,30.789089,2290336
2019-06-17,30.996656,32.133331,30.719900,31.065845,31.065845,2939861
2019-06-18,31.678661,32.844990,31.530399,32.844990,32.844990,2962625
2019-06-19,32.904297,33.754330,31.826923,33.754330,33.754330,3199874
2019-06-21,34.090393,35.078808,33.902592,34.149696,34.149696,4058016
2019-06-24,34.446220,34.485756,33.151398,33.507229,33.507229,3439551
2019-06-25,33.507229,34.001434,32.192638,32.419971,32.419971,2912444
2019-06-26,32.933949,33.240356,32.044376,32.410088,32.410088,2317753
2019-06-27,32.162987,32.261826,31.352486,32.261826,32.261826,2922257
2019-06-28,32.617657,32.943832,32.251942,32.340900,32.340900,1800055
2019-07-01,32.914181,32.914181,31.372253,31.639126,31.639126,3256530
2019-07-02,31.530399,31.994955,31.075729,31.471094,31.471094,2371274
2019-07-03,31.233875,31.945534,30.947235,31.935650,31.935650,1991878
2019-07-04,32.242058,33.882824,32.123447,33.882824,33.882824,3519173
2019-07-05,33.675259,35.365444,33.260124,35.365444,35.365444,3718078
2019-07-08,35.464287,36.057335,34.940430,36.047451,36.047451,3611240
2019-07-10,36.472469,38.913853,36.324207,38.755707,38.755707,5394704
2019-07-11,38.992924,39.437710,37.609146,39.062115,39.062115,5539279
2019-07-12,39.032459,39.319099,37.796944,37.796944,37.796944,4441358
2019-07-15,38.053932,38.053932,36.492237,36.699802,36.699802,2887049
2019-07-16,36.571312,36.680035,35.049152,35.414867,35.414867,4009555
2019-07-17,35.978264,37.243431,35.691624,36.442818,36.442818,3854964
2019-07-18,36.709690,37.184128,35.790462,36.492237,36.492237,2640189
2019-07-19,36.551540,36.551540,35.395100,35.563129,35.563129,1679053
2019-07-22,35.661968,35.978264,34.772396,35.325909,35.325909,1442209
2019-07-23,35.404984,35.661968,34.189232,34.614250,34.614250,3505009
2019-07-24,34.386917,35.869537,34.386917,35.444519,35.444519,2445028
2019-07-25,35.780579,36.225365,34.624134,35.078808,35.078808,2601744
2019-07-26,35.266605,36.007915,34.495644,35.701508,35.701508,2553586
2019-07-29,35.681740,36.521889,35.236954,36.521889,36.521889,2580194
2019-07-30,36.561424,36.848064,35.731159,36.166061,36.166061,2801559
2019-07-31,36.363743,37.747524,36.166061,37.500420,37.500420,5698119
